Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile, lat, long
1.,Alba,6307,197,"5,24",46.0709, 23.5731
2.,Arad,6762,262,"4,43",46.1762, 21.3011
3.,Arges,8207,145,"2,17",44.8601, 24.8678
4.,Bacau,9406,228,"2,29",46.5829, 26.9167
5.,Bihor,8545,370,"5,25",47.0718, 21.9211
6.,Bistrita-Nasaud,3510,131,"3,52",47.1325, 24.483
7.,Botosani,3975,116,"2,52",47.7325, 26.683
8.,Brasov,11382,352,"3,81",45.6495, 25.6
9.,Braila,3787,68,"1,69",45.2687, 27.9575
10.,Buzau,4553,143,"1,76",45.1495, 26.817
11.,Caras-Severin,3081,76,"2,32",45.2995, 21.8903
12.,Calarasi,2178,213,"1,52",44.1995, 27.333
13.,Cluj,12225,485,"6,15",46.7662, 23.5833
14.,Constanta,7449,332,"2,99",44.1729, 28.6383
15.,Covasna,2709,193,"3,38",45.8631, 25.7875
16.,Dambovita,7599,172,"2,99",44.9237, 25.4567
17.,Dolj,8213,351,"3,61",44.3325, 23.817
18.,Galati,7050,164,"1,77",45.439, 28.0344
19.,Giurgiu,2245,74,"1,8",43.8906, 25.9572
20.,Gorj,3319,45,"1,74",45.0334, 23.2747
21.,Harghita,3565,85,"2,72",46.3495, 25.8
22.,Hunedoara,5222,245,"2,86",45.8665, 22.9
23.,Ialomita,2614,127,"2,08",44.5642, 27.3517
24.,Iasi,12692,329,"2,29",47.1618, 27.5889
25.,Ilfov,7598,241,"2,69",44.5695, 25.95
26.,Maramures,5688,165,"3,61",47.6496, 23.567
27.,Mehedinti,2498,72,"1,79",44.6229, 22.6678
28.,Mures,6872,296,"4,18",46.5493, 24.5597
29.,Neamt,6979,144,"2,27",46.927, 26.3708
30.,Olt,4212,84,"1,43",44.4365, 24.37
31.,Prahova,11516,544,"2,6",44.9395, 26.03
32.,Satu Mare,2456,93,"2,45",47.7896, 22.89
33.,Salaj,3860,181,"6,49",47.1907, 23.0572
34.,Sibiu,7354,472,"5,31",45.7954, 24.1522
35.,Suceava,10357,140,"2,07",47.6509, 26.2556
36.,Teleorman,3769,150,"2,46",43.9665, 25.333
37.,Timis,12037,362,"5,88",5.799, 21.2939
38.,Tulcea,1773,74,"1,38",45.1895, 28.8
39.,Vaslui,5650,109,"1,93",46.6379, 27.7292
40.,Valcea,5893,54,"2,91",45.1043, 24.3756
41.,Vrancea,3873,97,"1,37",45.6965, 27.1867
42.,Bucuresti,41778 ,901,"4,5",44.4348, 26.1028

