Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,Date
Alba,10479,134,4.13,2020-12-05
Arad,11942,195,4.41,2020-12-05
Arges,14913,207,4.41,2020-12-05
Bacau,13809,242,2.59,2020-12-05
Bihor,14843,158,3.62,2020-12-05
Bistrita-Nasaud,6124,82,2.57,2020-12-05
Botosani,6578,83,2.47,2020-12-05
Brasov,20309,352,5.13,2020-12-05
Braila,6075,79,3.0,2020-12-05
Buzau,6860,54,2.13,2020-12-05
Caras-Severin,5105,82,2.39,2020-12-05
Calarasi,4736,76,2.96,2020-12-05
Cluj,23289,281,5.6,2020-12-05
Constanta,19118,387,7.15,2020-12-05
Covasna,4378,70,2.25,2020-12-05
Dambovita,12078,194,3.14,2020-12-05
Dolj,12766,101,2.46,2020-12-05
Galati,11558,293,3.47,2020-12-05
Giurgiu,4585,118,2.96,2020-12-05
Gorj,4524,33,1.3,2020-12-05
Harghita,4804,20,1.08,2020-12-05
Hunedoara,9396,120,3.42,2020-12-05
Ialomita,5039,46,3.21,2020-12-05
Iasi,21485,306,2.8,2020-12-05
Ilfov,16949,489,6.82,2020-12-05
Maramures,8951,85,2.14,2020-12-05
Mehedinti,4179,35,2.26,2020-12-05
Mures,12733,226,3.1,2020-12-05
Neamt,9662 ,60,1.6,2020-12-05
Olt,7736,85,1.18,2020-12-05
Prahova,20231,320,3.49,2020-12-05
Satu Mare,5951,68,3.3,2020-12-05
Salaj,5652,28,2.05,2020-12-05
Sibiu,14752,193,5.08,2020-12-05
Suceava,13592,101,1.71,2020-12-05
Teleorman,5940,104,2.37,2020-12-05
Timis,20253,272,3.92,2020-12-05
Tulcea,4037,86,3.5,2020-12-05
Vaslui,8273,121,2.18,2020-12-05
Valcea,8327,61,2.5,2020-12-05
Vrancea,5949,91,1.7,2020-12-05
Mun. Bucuresti,72434 ,1627,5.53,2020-12-05
